encoder,classifier,n_runs,roc_auc_1,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_5%,roc_auc_10%,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_90%,roc_auc_95%,roc_auc_max,encoder_n_iter_1,encoder_n_iter_mean,encoder_n_iter_std,encoder_n_iter_min,encoder_n_iter_5%,encoder_n_iter_10%,encoder_n_iter_25%,encoder_n_iter_50%,encoder_n_iter_75%,encoder_n_iter_90%,encoder_n_iter_95%,encoder_n_iter_max,fit_time_1,fit_time_mean,fit_time_std,fit_time_min,fit_time_5%,fit_time_10%,fit_time_25%,fit_time_50%,fit_time_75%,fit_time_90%,fit_time_95%,fit_time_max,encoder_params_1
spectral,none,1,,,,,,,,,,,,,17.53846153846154,17.53846153846154,,17.53846153846154,17.53846153846154,17.53846153846154,17.53846153846154,17.53846153846154,17.53846153846154,17.53846153846154,17.53846153846154,17.53846153846154,0.03961992263793945,0.03961992263793945,,0.03961992263793945,0.03961992263793945,0.03961992263793945,0.03961992263793945,0.03961992263793945,0.03961992263793945,0.03961992263793945,0.03961992263793945,0.03961992263793945,
hbbm_mle,none,1,,,,,,,,,,,,,24.692307692307693,24.692307692307693,,24.692307692307693,24.692307692307693,24.692307692307693,24.692307692307693,24.692307692307693,24.692307692307693,24.692307692307693,24.692307692307693,24.692307692307693,15.379929065704346,15.379929065704346,,15.379929065704346,15.379929065704346,15.379929065704346,15.379929065704346,15.379929065704346,15.379929065704346,15.379929065704346,15.379929065704346,15.379929065704346,
glmm,none,1,,,,,,,,,,,,,,,,,,,,,,,,,8.762938737869263,8.762938737869263,,8.762938737869263,8.762938737869263,8.762938737869263,8.762938737869263,8.762938737869263,8.762938737869263,8.762938737869263,8.762938737869263,8.762938737869263,
target,none,1,,,,,,,,,,,,,,,,,,,,,,,,,0.28547096252441406,0.28547096252441406,,0.28547096252441406,0.28547096252441406,0.28547096252441406,0.28547096252441406,0.28547096252441406,0.28547096252441406,0.28547096252441406,0.28547096252441406,0.28547096252441406,
target_regressor,none,1,,,,,,,,,,,,,,,,,,,,,,,,,0.11870694160461426,0.11870694160461426,,0.11870694160461426,0.11870694160461426,0.11870694160461426,0.11870694160461426,0.11870694160461426,0.11870694160461426,0.11870694160461426,0.11870694160461426,0.11870694160461426,
james_stein,none,1,,,,,,,,,,,,,,,,,,,,,,,,,0.14792609214782715,0.14792609214782715,,0.14792609214782715,0.14792609214782715,0.14792609214782715,0.14792609214782715,0.14792609214782715,0.14792609214782715,0.14792609214782715,0.14792609214782715,0.14792609214782715,
spectral,logistic_regression,1,0.5622445693904342,0.5622445693904342,,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,,,,,,,,,,,,,0.0808718204498291,0.0808718204498291,,0.0808718204498291,0.0808718204498291,0.0808718204498291,0.0808718204498291,0.0808718204498291,0.0808718204498291,0.0808718204498291,0.0808718204498291,0.0808718204498291,
hbbm_mle,logistic_regression,1,0.5604983528595844,0.5604983528595844,,0.5604983528595844,0.5604983528595844,0.5604983528595844,0.5604983528595844,0.5604983528595844,0.5604983528595844,0.5604983528595844,0.5604983528595844,0.5604983528595844,,,,,,,,,,,,,15.427440881729126,15.427440881729126,,15.427440881729126,15.427440881729126,15.427440881729126,15.427440881729126,15.427440881729126,15.427440881729126,15.427440881729126,15.427440881729126,15.427440881729126,
glmm,logistic_regression,1,0.6154897249812169,0.6154897249812169,,0.6154897249812169,0.6154897249812169,0.6154897249812169,0.6154897249812169,0.6154897249812169,0.6154897249812169,0.6154897249812169,0.6154897249812169,0.6154897249812169,,,,,,,,,,,,,8.830176591873169,8.830176591873169,,8.830176591873169,8.830176591873169,8.830176591873169,8.830176591873169,8.830176591873169,8.830176591873169,8.830176591873169,8.830176591873169,8.830176591873169,
target,logistic_regression,1,0.5846853094890149,0.5846853094890149,,0.5846853094890149,0.5846853094890149,0.5846853094890149,0.5846853094890149,0.5846853094890149,0.5846853094890149,0.5846853094890149,0.5846853094890149,0.5846853094890149,,,,,,,,,,,,,0.3489997386932373,0.3489997386932373,,0.3489997386932373,0.3489997386932373,0.3489997386932373,0.3489997386932373,0.3489997386932373,0.3489997386932373,0.3489997386932373,0.3489997386932373,0.3489997386932373,
