encoder,classifier,n_runs,fit_time_1,fit_time_2,fit_time_mean,fit_time_std,fit_time_min,fit_time_5%,fit_time_10%,fit_time_25%,fit_time_50%,fit_time_75%,fit_time_90%,fit_time_95%,fit_time_max,score_time_1,score_time_2,score_time_mean,score_time_std,score_time_min,score_time_5%,score_time_10%,score_time_25%,score_time_50%,score_time_75%,score_time_90%,score_time_95%,score_time_max,encoder_n_iter_1,encoder_n_iter_2,encoder_n_iter_mean,encoder_n_iter_std,encoder_n_iter_min,encoder_n_iter_5%,encoder_n_iter_10%,encoder_n_iter_25%,encoder_n_iter_50%,encoder_n_iter_75%,encoder_n_iter_90%,encoder_n_iter_95%,encoder_n_iter_max,roc_auc_1,roc_auc_2,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_5%,roc_auc_10%,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_90%,roc_auc_95%,roc_auc_max
spectral,none,2,0.11715126037597656,0.11797499656677246,0.11756312847137451,0.0005824694464205555,0.11715126037597656,0.11719244718551636,0.11723363399505615,0.11735719442367554,0.11756312847137451,0.11776906251907349,0.11789262294769287,0.11793380975723267,0.11797499656677246,2.2649765014648438e-05,2.09808349609375e-05,2.181529998779297e-05,1.1801117583050329e-06,2.09808349609375e-05,2.1064281463623046e-05,2.1147727966308594e-05,2.1398067474365234e-05,2.181529998779297e-05,2.2232532501220703e-05,2.2482872009277343e-05,2.2566318511962892e-05,2.2649765014648438e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
drop,none,2,0.015308141708374023,0.015265941619873047,0.015287041664123535,2.9839968745712975e-05,0.015265941619873047,0.015268051624298095,0.015270161628723144,0.015276491641998291,0.015287041664123535,0.01529759168624878,0.015303921699523926,0.015306031703948975,0.015308141708374023,2.09808349609375e-05,1.71661376953125e-05,1.9073486328125e-05,2.6973983046972182e-06,1.71661376953125e-05,1.735687255859375e-05,1.7547607421875e-05,1.811981201171875e-05,1.9073486328125e-05,2.002716064453125e-05,2.0599365234375e-05,2.079010009765625e-05,2.09808349609375e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
spectral,logistic_regression,2,0.3393399715423584,0.3360586166381836,0.337699294090271,0.0023202683042217384,0.3360586166381836,0.3362226843833923,0.3363867521286011,0.3368789553642273,0.337699294090271,0.3385196328163147,0.3390118360519409,0.3391759037971497,0.3393399715423584,0.020164012908935547,0.020763158798217773,0.02046358585357666,0.0004236601212315068,0.020164012908935547,0.020193970203399657,0.02022392749786377,0.020313799381256104,0.02046358585357666,0.020613372325897217,0.02070324420928955,0.020733201503753663,0.020763158798217773,,,,,,,,,,,,,,0.5045674601033333,0.5087814695808763,0.5066744648421049,0.0029797546775550523,0.5045674601033333,0.5047781605772105,0.5049888610510876,0.505620962472719,0.5066744648421049,0.5077279672114906,0.508360068633122,0.5085707691069992,0.5087814695808763
drop,logistic_regression,2,0.07881999015808105,0.07124972343444824,0.07503485679626465,0.005352986935671629,0.07124972343444824,0.07162823677062988,0.07200675010681153,0.07314229011535645,0.07503485679626465,0.07692742347717285,0.07806296348571777,0.07844147682189942,0.07881999015808105,0.00598907470703125,0.007561206817626953,0.0067751407623291016,0.001111665276323341,0.00598907470703125,0.006067681312561035,0.006146287918090821,0.006382107734680176,0.0067751407623291016,0.007168173789978027,0.0074039936065673825,0.007482600212097168,0.007561206817626953,,,,,,,,,,,,,,0.500207071456515,0.504484136792318,0.5023456041244165,0.0030243419025241945,0.500207071456515,0.5004209247233051,0.5006347779900953,0.5012763377904658,0.5023456041244165,0.5034148704583672,0.5040564302587377,0.5042702835255278,0.504484136792318
spectral,random_forest,1,4.714644193649292,,4.714644193649292,,4.714644193649292,4.714644193649292,4.714644193649292,4.714644193649292,4.714644193649292,4.714644193649292,4.714644193649292,4.714644193649292,4.714644193649292,0.13921594619750977,,0.13921594619750977,,0.13921594619750977,0.13921594619750977,0.13921594619750977,0.13921594619750977,0.13921594619750977,0.13921594619750977,0.13921594619750977,0.13921594619750977,0.13921594619750977,,,,,,,,,,,,,,0.5279693170014435,,0.5279693170014435,,0.5279693170014435,0.5279693170014435,0.5279693170014435,0.5279693170014435,0.5279693170014435,0.5279693170014435,0.5279693170014435,0.5279693170014435,0.5279693170014435
drop,random_forest,1,5.0560033321380615,,5.0560033321380615,,5.0560033321380615,5.0560033321380615,5.0560033321380615,5.0560033321380615,5.0560033321380615,5.0560033321380615,5.0560033321380615,5.0560033321380615,5.0560033321380615,0.12412381172180176,,0.12412381172180176,,0.12412381172180176,0.12412381172180176,0.12412381172180176,0.12412381172180176,0.12412381172180176,0.12412381172180176,0.12412381172180176,0.12412381172180176,0.12412381172180176,,,,,,,,,,,,,,0.5310309561709992,,0.5310309561709992,,0.5310309561709992,0.5310309561709992,0.5310309561709992,0.5310309561709992,0.5310309561709992,0.5310309561709992,0.5310309561709992,0.5310309561709992,0.5310309561709992
spectral,gradient_boosting,1,5.131812334060669,,5.131812334060669,,5.131812334060669,5.131812334060669,5.131812334060669,5.131812334060669,5.131812334060669,5.131812334060669,5.131812334060669,5.131812334060669,5.131812334060669,0.02667999267578125,,0.02667999267578125,,0.02667999267578125,0.02667999267578125,0.02667999267578125,0.02667999267578125,0.02667999267578125,0.02667999267578125,0.02667999267578125,0.02667999267578125,0.02667999267578125,,,,,,,,,,,,,,0.525459671653469,,0.525459671653469,,0.525459671653469,0.525459671653469,0.525459671653469,0.525459671653469,0.525459671653469,0.525459671653469,0.525459671653469,0.525459671653469,0.525459671653469
drop,gradient_boosting,1,3.83785080909729,,3.83785080909729,,3.83785080909729,3.83785080909729,3.83785080909729,3.83785080909729,3.83785080909729,3.83785080909729,3.83785080909729,3.83785080909729,3.83785080909729,0.012635231018066406,,0.012635231018066406,,0.012635231018066406,0.012635231018066406,0.012635231018066406,0.012635231018066406,0.012635231018066406,0.012635231018066406,0.012635231018066406,0.012635231018066406,0.012635231018066406,,,,,,,,,,,,,,0.520195790446384,,0.520195790446384,,0.520195790446384,0.520195790446384,0.520195790446384,0.520195790446384,0.520195790446384,0.520195790446384,0.520195790446384,0.520195790446384,0.520195790446384
spectral,multilayer_perceptron,1,4.655108213424683,,4.655108213424683,,4.655108213424683,4.655108213424683,4.655108213424683,4.655108213424683,4.655108213424683,4.655108213424683,4.655108213424683,4.655108213424683,4.655108213424683,0.03371095657348633,,0.03371095657348633,,0.03371095657348633,0.03371095657348633,0.03371095657348633,0.03371095657348633,0.03371095657348633,0.03371095657348633,0.03371095657348633,0.03371095657348633,0.03371095657348633,,,,,,,,,,,,,,0.5262941122907364,,0.5262941122907364,,0.5262941122907364,0.5262941122907364,0.5262941122907364,0.5262941122907364,0.5262941122907364,0.5262941122907364,0.5262941122907364,0.5262941122907364,0.5262941122907364
drop,multilayer_perceptron,1,2.589327335357666,,2.589327335357666,,2.589327335357666,2.589327335357666,2.589327335357666,2.589327335357666,2.589327335357666,2.589327335357666,2.589327335357666,2.589327335357666,2.589327335357666,0.014062643051147461,,0.014062643051147461,,0.014062643051147461,0.014062643051147461,0.014062643051147461,0.014062643051147461,0.014062643051147461,0.014062643051147461,0.014062643051147461,0.014062643051147461,0.014062643051147461,,,,,,,,,,,,,,0.5122404861794979,,0.5122404861794979,,0.5122404861794979,0.5122404861794979,0.5122404861794979,0.5122404861794979,0.5122404861794979,0.5122404861794979,0.5122404861794979,0.5122404861794979,0.5122404861794979
